age,sex,act.level,eer
42,f,act,2599.615
43,f,act,2592.7049999999995
44,f,act,2585.7949999999996
45,f,act,2578.8849999999998
46,f,act,2571.9749999999995
47,f,act,2565.0649999999996
48,f,act,2558.1549999999997
49,f,act,2551.2449999999994
50,f,act,2544.3349999999996
51,f,act,2537.4249999999997
52,f,act,2530.5149999999994
53,f,act,2523.6049999999996
54,f,act,2516.6949999999997
55,f,act,2509.785
56,f,act,2502.8749999999995
57,f,act,2495.9649999999997
58,f,act,2489.0549999999994
59,f,act,2482.1449999999995
60,f,act,2475.2349999999997
61,f,act,2468.325
62,f,act,2461.4149999999995
63,f,act,2454.5049999999997
64,f,act,2447.595
65,f,act,2440.6849999999995
66,f,act,2433.7749999999996
67,f,act,2426.865
68,f,act,2419.9549999999995
69,f,act,2413.0449999999996
70,f,act,2406.1349999999998
71,f,act,2399.2249999999995
72,f,act,2392.3149999999996
73,f,act,2385.4049999999997
74,f,act,2378.4949999999994
75,f,act,2371.5849999999996
76,f,act,2364.6749999999997
77,f,act,2357.7649999999994
78,f,act,2350.8549999999996
79,f,act,2343.9449999999997
80,f,act,2337.035
3,m,veryact,1480.5115999999998
4,m,veryact,2093.7789999999995
5,m,veryact,2031.8789999999995
6,m,veryact,1969.9789999999994
7,m,veryact,1908.0789999999995
8,m,veryact,1846.1789999999994
9,m,veryact,1563.47592
10,m,veryact,1956.8908000000001
11,m,veryact,1947.3608
12,m,veryact,1937.8308000000002
13,m,veryact,1928.3008
14,m,veryact,1918.7708
15,m,veryact,2492.92328
16,m,veryact,2483.3932800000002
17,m,veryact,2473.86328
18,m,veryact,2464.33328
19,m,veryact,2454.80328
20,m,veryact,3239.9478799999997
21,m,veryact,3230.41788
22,m,veryact,3220.8878799999998
23,m,veryact,3211.3578799999996
24,m,veryact,3201.82788
25,m,veryact,3542.7421600000002
26,m,veryact,3533.2121600000005
27,m,veryact,3523.6821600000003
28,m,veryact,3514.1521600000005
29,m,veryact,3504.6221600000003
30,m,veryact,3495.0921600000006
31,m,veryact,3485.5621600000004
32,m,veryact,3476.0321600000007
33,m,veryact,3466.5021600000005
34,m,veryact,3456.9721600000003
35,m,veryact,3447.4421600000005
36,m,veryact,3437.9121600000003
37,m,veryact,3428.3821600000006
38,m,veryact,3418.8521600000004
39,m,veryact,3409.3221600000006
40,m,veryact,3399.7921600000004
41,m,veryact,3390.26216
42,m,veryact,3380.7321600000005
43,m,veryact,3371.2021600000003
44,m,veryact,3361.6721600000005
45,m,veryact,3352.1421600000003
46,m,veryact,3342.6121600000006
47,m,veryact,3333.0821600000004
48,m,veryact,3323.55216
49,m,veryact,3314.0221600000004
50,m,veryact,3304.4921600000002
51,m,veryact,3294.9621600000005
52,m,veryact,3285.4321600000003
53,m,veryact,3275.9021600000005
54,m,veryact,3266.3721600000003
55,m,veryact,3256.8421600000006
56,m,veryact,3247.3121600000004
57,m,veryact,3237.7821600000007
58,m,veryact,3228.2521600000005
59,m,veryact,3218.7221600000003
60,m,veryact,3209.1921600000005
61,m,veryact,3199.6621600000003
62,m,veryact,3190.1321600000006
63,m,veryact,3180.6021600000004
64,m,veryact,3171.0721600000006
65,m,veryact,3161.5421600000004
66,m,veryact,3152.01216
67,m,veryact,3142.4821600000005
68,m,veryact,3132.9521600000003
69,m,veryact,3123.4221600000005
70,m,veryact,3113.8921600000003
71,m,veryact,3104.3621600000006
72,m,veryact,3094.8321600000004
73,m,veryact,3085.30216
74,m,veryact,3075.7721600000004
75,m,veryact,3066.2421600000007
76,m,veryact,3056.7121600000005
77,m,veryact,3047.1821600000003
78,m,veryact,3037.6521600000005
79,m,veryact,3028.1221600000003
80,m,veryact,3018.5921600000006
3,f,veryact,1373.9008000000001
4,f,veryact,1841.3219999999997
5,f,veryact,1810.5219999999997
6,f,veryact,1779.7219999999998
7,f,veryact,1748.9219999999998
8,f,veryact,1718.1219999999998
9,f,veryact,1378.9008000000001
10,f,veryact,1846.3219999999997
11,f,veryact,1815.5219999999997
12,f,veryact,1784.7219999999998
13,f,veryact,1753.9219999999998
14,f,veryact,1723.1219999999998
15,f,veryact,2304.1432
16,f,veryact,2273.3432000000003
17,f,veryact,2242.5432
18,f,veryact,2211.7432
19,f,veryact,1379.3556
20,f,veryact,1777.7419999999997
21,f,veryact,1770.8319999999999
22,f,veryact,1763.9219999999998
23,f,veryact,1757.0119999999997
24,f,veryact,1750.1019999999999
25,f,veryact,2254.818
26,f,veryact,2247.908
27,f,veryact,2240.998
28,f,veryact,2234.088
29,f,veryact,2227.178
30,f,veryact,2861.8239999999996
31,f,veryact,2854.9139999999993
32,f,veryact,2848.0039999999995
33,f,veryact,2841.0939999999996
34,f,veryact,2834.1839999999993
35,f,veryact,3094.2355999999995
36,f,veryact,3087.3255999999997
37,f,veryact,3080.4155999999994
38,f,veryact,3073.5055999999995
39,f,veryact,3066.5955999999996
40,f,veryact,3059.6855999999993
41,f,veryact,3052.7755999999995
42,f,veryact,3045.8655999999996
43,f,veryact,3038.9555999999993
44,f,veryact,3032.0455999999995
45,f,veryact,3025.1355999999996
46,f,veryact,3018.2255999999993
47,f,veryact,3011.3155999999994
48,f,veryact,3004.4055999999996
49,f,veryact,2997.4955999999993
50,f,veryact,2990.5855999999994
51,f,veryact,2983.6755999999996
52,f,veryact,2976.7655999999997
53,f,veryact,2969.8555999999994
54,f,veryact,2962.9455999999996
